epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4555.73,2.07407,1.10363,1.11121,0.73352,0.55765,0.59769,0.24181,1.95525,0.97405,1.308,0.0007294,0.0007294,0.0007294
43,4664.71,2.09662,1.09182,1.10639,0.73611,0.558,0.60757,0.24055,1.95867,0.95171,1.29187,0.0007228,0.0007228,0.0007228
44,4772.72,2.08791,1.09701,1.09341,0.72334,0.55264,0.59389,0.23068,1.91862,0.98603,1.25548,0.0007162,0.0007162,0.0007162
45,4880.54,2.06657,1.08584,1.09135,0.7534,0.54016,0.58623,0.22345,1.9296,0.9689,1.24858,0.0007096,0.0007096,0.0007096
46,4989.51,2.08894,1.08844,1.09025,0.73457,0.56384,0.59608,0.23404,1.97158,0.97632,1.28073,0.000703,0.000703,0.000703
47,5096.99,2.06059,1.10719,1.07633,0.73256,0.5635,0.60013,0.23885,1.92027,0.98239,1.26531,0.0006964,0.0006964,0.0006964
48,5205.35,2.07949,1.08516,1.08426,0.75599,0.5602,0.60628,0.24664,1.92897,0.94171,1.28601,0.0006898,0.0006898,0.0006898
49,5312.53,2.06776,1.09923,1.083,0.71428,0.53994,0.5811,0.22112,1.96301,0.98781,1.26967,0.0006832,0.0006832,0.0006832
50,5421.94,2.07241,1.08316,1.09366,0.73125,0.561,0.59831,0.23471,1.96643,0.9822,1.30171,0.0006766,0.0006766,0.0006766
51,5528.67,2.06717,1.08015,1.10713,0.77727,0.55799,0.6189,0.25163,1.90555,0.94356,1.27083,0.00067,0.00067,0.00067
52,5636.28,2.01743,1.05891,1.07952,0.75058,0.56124,0.6086,0.24418,1.94739,0.93557,1.27974,0.0006634,0.0006634,0.0006634
53,5744.08,2.07993,1.09586,1.08969,0.71963,0.55064,0.58843,0.22335,1.97923,0.99743,1.28048,0.0006568,0.0006568,0.0006568
54,5850.08,2.04357,1.0808,1.09088,0.74446,0.56036,0.60098,0.23997,1.94791,0.95565,1.29366,0.0006502,0.0006502,0.0006502
55,5957.75,2.02908,1.0537,1.07988,0.76374,0.56777,0.62638,0.25121,1.96521,0.94202,1.32632,0.0006436,0.0006436,0.0006436
56,6066.88,2.02448,1.04868,1.08804,0.75735,0.56278,0.61201,0.24433,1.93762,0.932,1.29078,0.000637,0.000637,0.000637
57,6175.83,2.01841,1.05026,1.09277,0.74213,0.54682,0.58824,0.23275,1.94245,0.95353,1.26433,0.0006304,0.0006304,0.0006304
58,6285.06,2.02545,1.05398,1.08667,0.74281,0.56785,0.61977,0.25195,1.91343,0.92457,1.26865,0.0006238,0.0006238,0.0006238
59,6394.84,2.02145,1.05075,1.09299,0.74781,0.55782,0.61179,0.24321,1.9387,0.93988,1.27832,0.0006172,0.0006172,0.0006172
60,6503.19,2.05208,1.07324,1.08666,0.73394,0.5661,0.60428,0.23699,1.96855,0.9656,1.29066,0.0006106,0.0006106,0.0006106
61,6613.61,1.97979,1.03223,1.08154,0.73184,0.57327,0.60928,0.24888,1.92427,0.95021,1.27643,0.000604,0.000604,0.000604
62,6721.04,2.02719,1.04693,1.07183,0.76753,0.56568,0.6293,0.25123,1.93401,0.90475,1.27714,0.0005974,0.0005974,0.0005974
63,6833.19,2.00101,1.02141,1.07886,0.76155,0.56839,0.61512,0.24661,1.93591,0.92959,1.29184,0.0005908,0.0005908,0.0005908
64,6943.07,2.00257,1.02101,1.06709,0.75667,0.57687,0.62969,0.24906,1.91071,0.9042,1.26588,0.0005842,0.0005842,0.0005842
65,7053.79,2.0096,1.02355,1.08455,0.78123,0.56036,0.6232,0.25464,1.92492,0.91069,1.28015,0.0005776,0.0005776,0.0005776
66,7164.51,2.00574,1.0244,1.06549,0.7771,0.56735,0.61838,0.25217,1.95389,0.92989,1.31021,0.000571,0.000571,0.000571
67,7273.99,1.99253,1.008,1.06421,0.78087,0.56735,0.62029,0.25035,1.90701,0.91077,1.26471,0.0005644,0.0005644,0.0005644
68,7378.6,2.00984,1.01641,1.07137,0.76215,0.58122,0.62724,0.25833,1.91135,0.89202,1.26968,0.0005578,0.0005578,0.0005578
69,7481.49,1.97497,1.01143,1.06073,0.75462,0.58272,0.63229,0.25575,1.93457,0.8897,1.30808,0.0005512,0.0005512,0.0005512
70,7597.37,1.99162,1.01009,1.07147,0.75442,0.58319,0.62674,0.25088,1.95712,0.91752,1.29629,0.0005446,0.0005446,0.0005446
71,7724.28,2.03058,1.03107,1.07396,0.75851,0.57804,0.62265,0.25202,1.95148,0.91265,1.31343,0.000538,0.000538,0.000538
72,7842.29,2.01379,1.03639,1.06605,0.75144,0.56701,0.62219,0.25037,1.91486,0.92287,1.26397,0.0005314,0.0005314,0.0005314
73,7954.16,1.98196,1.01895,1.07248,0.76175,0.57758,0.62123,0.25053,1.918,0.90938,1.28332,0.0005248,0.0005248,0.0005248
74,8059.55,1.98869,1.00654,1.06262,0.77067,0.59208,0.64171,0.26246,1.94134,0.90036,1.30519,0.0005182,0.0005182,0.0005182
75,8163.97,1.97861,1.01639,1.07762,0.7428,0.59174,0.62976,0.25687,1.90079,0.93484,1.27091,0.0005116,0.0005116,0.0005116
76,8268.01,1.9892,1.01461,1.06208,0.77103,0.58372,0.6424,0.26246,1.92898,0.88977,1.29828,0.000505,0.000505,0.000505
77,8371.92,1.9548,1.0005,1.06637,0.73486,0.59041,0.6273,0.25289,1.91955,0.93643,1.29163,0.0004984,0.0004984,0.0004984
78,8478.17,1.94293,1.00378,1.05758,0.75453,0.58405,0.63723,0.25514,1.94847,0.90262,1.30962,0.0004918,0.0004918,0.0004918
79,8581.03,1.98135,1.0004,1.06163,0.73278,0.58372,0.6232,0.24923,1.93941,0.91932,1.30631,0.0004852,0.0004852,0.0004852
80,8685.9,1.92599,0.98372,1.06935,0.77457,0.58189,0.64354,0.26409,1.90242,0.89903,1.28394,0.0004786,0.0004786,0.0004786
81,8790.52,1.96637,0.99348,1.04508,0.76495,0.56343,0.61386,0.24684,1.92532,0.89831,1.29067,0.000472,0.000472,0.000472
82,8899.09,1.96491,0.99672,1.05998,0.78928,0.5909,0.65761,0.27082,1.89199,0.89261,1.29307,0.0004654,0.0004654,0.0004654
83,9007.59,1.93932,0.97635,1.06617,0.77055,0.5864,0.63873,0.26117,1.92078,0.89539,1.31353,0.0004588,0.0004588,0.0004588
84,9116.82,1.91281,0.96627,1.04994,0.7754,0.58848,0.64435,0.26318,1.92427,0.88689,1.3153,0.0004522,0.0004522,0.0004522
85,9224.63,1.96054,0.98155,1.05091,0.77671,0.562,0.61896,0.25378,1.93724,0.88478,1.32882,0.0004456,0.0004456,0.0004456
86,9334.86,1.91024,0.96803,1.05259,0.76888,0.59374,0.64587,0.26652,1.91701,0.88671,1.3192,0.000439,0.000439,0.000439
87,9442.54,1.93491,0.98421,1.06267,0.73662,0.57821,0.61999,0.24575,1.92589,0.89829,1.29137,0.0004324,0.0004324,0.0004324
88,9552.79,1.90012,0.96228,1.05694,0.76671,0.59204,0.65112,0.27172,1.89023,0.87226,1.29029,0.0004258,0.0004258,0.0004258
89,9661.04,1.95431,0.98338,1.04877,0.77257,0.5986,0.64903,0.26492,1.89283,0.87208,1.28492,0.0004192,0.0004192,0.0004192
90,9772.38,1.93638,0.97706,1.04907,0.77076,0.58991,0.64771,0.26503,1.89707,0.87097,1.28792,0.0004126,0.0004126,0.0004126
91,9880.88,1.91544,0.96466,1.03998,0.76903,0.58144,0.63686,0.25929,1.91136,0.87636,1.29418,0.000406,0.000406,0.000406
92,9991.32,1.9323,0.97065,1.03944,0.77629,0.59375,0.64854,0.2689,1.89255,0.87165,1.2875,0.0003994,0.0003994,0.0003994
93,10098.7,1.90211,0.95955,1.04355,0.77448,0.59514,0.65008,0.2664,1.9046,0.88027,1.31498,0.0003928,0.0003928,0.0003928
94,10210.1,1.88558,0.94379,1.04014,0.76972,0.60261,0.65765,0.26881,1.89116,0.86962,1.29959,0.0003862,0.0003862,0.0003862
95,10319,1.9176,0.95691,1.02721,0.7799,0.59512,0.66202,0.27589,1.88171,0.87711,1.29589,0.0003796,0.0003796,0.0003796
96,10428.1,1.8818,0.94157,1.0456,0.77729,0.60194,0.6593,0.26904,1.89658,0.87282,1.29676,0.000373,0.000373,0.000373
97,10537.1,1.90096,0.95501,1.05628,0.75906,0.60227,0.65058,0.26532,1.9326,0.87467,1.33338,0.0003664,0.0003664,0.0003664
98,10646.6,1.90621,0.9633,1.05172,0.76742,0.60435,0.65788,0.27086,1.89967,0.86512,1.31273,0.0003598,0.0003598,0.0003598
99,10755.6,1.88369,0.94111,1.04875,0.77451,0.60545,0.66269,0.27468,1.87162,0.85656,1.2999,0.0003532,0.0003532,0.0003532
100,10865.1,1.90885,0.94138,1.03003,0.78899,0.59074,0.65425,0.2721,1.89804,0.85279,1.29948,0.0003466,0.0003466,0.0003466
101,10974.2,1.90682,0.9542,1.02885,0.77076,0.58422,0.63564,0.26149,1.91766,0.88454,1.31072,0.00034,0.00034,0.00034
102,11083.6,1.88906,0.93777,1.04038,0.78179,0.6016,0.65383,0.26752,1.91297,0.877,1.32512,0.0003334,0.0003334,0.0003334
103,11193.9,1.91701,0.95108,1.03391,0.77578,0.59321,0.64834,0.2655,1.91307,0.8581,1.31984,0.0003268,0.0003268,0.0003268
104,11302.1,1.86878,0.93294,1.0368,0.77224,0.60461,0.65829,0.27427,1.88193,0.86483,1.30267,0.0003202,0.0003202,0.0003202
105,11410.9,1.88964,0.93893,1.04191,0.75644,0.59893,0.64726,0.25707,1.92703,0.87405,1.31515,0.0003136,0.0003136,0.0003136
106,11519.7,1.85577,0.93552,1.04095,0.78132,0.60423,0.65832,0.27299,1.91009,0.86811,1.33663,0.000307,0.000307,0.000307
107,11629,1.86117,0.92957,1.04527,0.76629,0.60435,0.65633,0.27552,1.9021,0.86155,1.32945,0.0003004,0.0003004,0.0003004
108,11739.8,1.89977,0.95483,1.03515,0.77818,0.59559,0.65169,0.27106,1.89255,0.86056,1.30914,0.0002938,0.0002938,0.0002938
109,11848.9,1.87009,0.92781,1.03521,0.77413,0.59852,0.65592,0.27161,1.89245,0.86678,1.30183,0.0002872,0.0002872,0.0002872
110,11958.7,1.8535,0.9156,1.02404,0.76247,0.6024,0.65543,0.27011,1.87694,0.86277,1.30328,0.0002806,0.0002806,0.0002806
111,12066.7,1.85515,0.92957,1.0287,0.77078,0.60144,0.66065,0.27302,1.88298,0.85843,1.30809,0.000274,0.000274,0.000274
112,12176.1,1.8679,0.9226,1.02785,0.77114,0.60137,0.65066,0.26728,1.89636,0.86231,1.32936,0.0002674,0.0002674,0.0002674
113,12285,1.85926,0.926,1.0346,0.7758,0.60528,0.66603,0.27669,1.87245,0.85151,1.31898,0.0002608,0.0002608,0.0002608
114,12395.4,1.86544,0.92808,1.02692,0.76509,0.58255,0.62548,0.25267,1.943,0.8848,1.33932,0.0002542,0.0002542,0.0002542
115,12503.5,1.85299,0.92473,1.02756,0.76834,0.60856,0.66573,0.28028,1.87006,0.86172,1.3101,0.0002476,0.0002476,0.0002476
116,12612.7,1.87078,0.93136,1.02901,0.78071,0.59436,0.65332,0.27091,1.90997,0.84975,1.33596,0.000241,0.000241,0.000241
117,12721.4,1.85003,0.91903,1.02808,0.76769,0.61576,0.66713,0.27802,1.87863,0.83897,1.32143,0.0002344,0.0002344,0.0002344
118,12830.1,1.84353,0.91729,1.0234,0.77191,0.59759,0.65215,0.2706,1.89928,0.85347,1.32522,0.0002278,0.0002278,0.0002278
119,12939,1.85789,0.92016,1.03205,0.76456,0.60612,0.66039,0.27681,1.86982,0.83635,1.31096,0.0002212,0.0002212,0.0002212
120,13047.3,1.8567,0.92344,1.02206,0.78032,0.60612,0.66702,0.27835,1.86903,0.84092,1.3166,0.0002146,0.0002146,0.0002146
121,13155.6,1.85265,0.90697,1.01714,0.79076,0.60124,0.66346,0.27434,1.88085,0.8382,1.31701,0.000208,0.000208,0.000208
122,13265,1.86364,0.91638,1.02096,0.77182,0.6123,0.66371,0.27427,1.8835,0.84528,1.32896,0.0002014,0.0002014,0.0002014
123,13374.9,1.84316,0.90585,1.03243,0.77557,0.60862,0.66269,0.27372,1.89833,0.84181,1.34307,0.0001948,0.0001948,0.0001948
124,13483.8,1.81109,0.8947,1.0246,0.79126,0.60431,0.66402,0.27057,1.88529,0.84198,1.32119,0.0001882,0.0001882,0.0001882
125,13593.3,1.84197,0.90754,1.02342,0.78974,0.60795,0.6687,0.27941,1.86825,0.83327,1.31568,0.0001816,0.0001816,0.0001816
126,13701.5,1.82078,0.90194,1.01015,0.78598,0.60478,0.66544,0.2789,1.86683,0.83451,1.31462,0.000175,0.000175,0.000175
127,13811.2,1.81275,0.89383,1.00789,0.77995,0.60474,0.66381,0.27849,1.85224,0.82986,1.32344,0.0001684,0.0001684,0.0001684
128,13920.4,1.84891,0.91077,1.01401,0.7874,0.59976,0.66066,0.27173,1.88282,0.82603,1.33201,0.0001618,0.0001618,0.0001618
129,14029.8,1.81306,0.89177,1.013,0.78014,0.61681,0.6727,0.28193,1.86457,0.83156,1.32029,0.0001552,0.0001552,0.0001552
130,14139.8,1.81528,0.89524,1.01691,0.78235,0.60277,0.66103,0.27716,1.86235,0.8319,1.32771,0.0001486,0.0001486,0.0001486
131,14248.6,1.82962,0.89762,1.01154,0.78859,0.6001,0.66172,0.27914,1.87184,0.83267,1.33542,0.000142,0.000142,0.000142
132,14357.8,1.83296,0.89725,1.00511,0.77523,0.61096,0.6669,0.27962,1.87246,0.82879,1.33556,0.0001354,0.0001354,0.0001354
133,14466.7,1.79653,0.87989,1.01057,0.76187,0.60645,0.65434,0.27193,1.87664,0.835,1.32984,0.0001288,0.0001288,0.0001288
134,14576.3,1.78579,0.88227,1.00222,0.77341,0.62299,0.6732,0.28405,1.85485,0.8321,1.3299,0.0001222,0.0001222,0.0001222
135,14684.9,1.8033,0.88919,1.00276,0.775,0.60378,0.6601,0.27396,1.89895,0.83805,1.37114,0.0001156,0.0001156,0.0001156
136,14795.1,1.79134,0.87717,1.01648,0.7756,0.61297,0.66505,0.28096,1.86331,0.83148,1.33827,0.000109,0.000109,0.000109
137,14905,1.7831,0.8704,1.00244,0.7777,0.61113,0.66752,0.28048,1.86266,0.82786,1.3334,0.0001024,0.0001024,0.0001024
138,15013.9,1.80072,0.87882,1.00567,0.76948,0.61664,0.6696,0.27986,1.86474,0.83066,1.32997,9.58e-05,9.58e-05,9.58e-05
139,15121.8,1.80163,0.88417,1.00593,0.76336,0.62383,0.66895,0.28064,1.87511,0.84271,1.34669,8.92e-05,8.92e-05,8.92e-05
140,15230.1,1.79606,0.88168,1.01215,0.76955,0.61263,0.66056,0.27662,1.87478,0.83181,1.34024,8.26e-05,8.26e-05,8.26e-05
141,15350.1,1.74748,0.85954,1.01683,0.76567,0.59943,0.64587,0.26665,1.91158,0.85732,1.36534,7.6e-05,7.6e-05,7.6e-05
142,15457.9,1.74399,0.84632,1.01035,0.7822,0.61113,0.66307,0.27533,1.87744,0.85011,1.33982,6.94e-05,6.94e-05,6.94e-05
143,15564.6,1.72636,0.84202,1.00987,0.78264,0.60894,0.6653,0.2782,1.87989,0.84008,1.35187,6.28e-05,6.28e-05,6.28e-05
144,15671.7,1.72759,0.83839,1.01086,0.77091,0.60779,0.66121,0.27713,1.88671,0.84119,1.35022,5.62e-05,5.62e-05,5.62e-05
145,15779,1.71527,0.83683,1.01507,0.76723,0.60755,0.6603,0.27395,1.89148,0.84308,1.3489,4.96e-05,4.96e-05,4.96e-05
146,15885.6,1.72521,0.83358,1.00846,0.77022,0.6123,0.66067,0.27758,1.88378,0.84102,1.35229,4.3e-05,4.3e-05,4.3e-05
147,15993.8,1.72543,0.83136,1.0083,0.77762,0.61007,0.66587,0.27965,1.87662,0.83463,1.34489,3.64e-05,3.64e-05,3.64e-05
148,16100.1,1.71309,0.82475,1.00613,0.76896,0.61414,0.66947,0.27961,1.87866,0.83627,1.34999,2.98e-05,2.98e-05,2.98e-05
149,16208,1.7276,0.83197,1.00709,0.75814,0.61709,0.66326,0.27655,1.88547,0.84459,1.35018,2.32e-05,2.32e-05,2.32e-05
150,16314.9,1.72905,0.83487,0.99878,0.76709,0.61364,0.66672,0.27802,1.88719,0.83525,1.35146,1.66e-05,1.66e-05,1.66e-05
